twa/tws;6;8;10;12;14;16;20
52;5.31;6.39;7.23;7.7;7.96;8.12;8.25
60;5.66;6.77;7.51;7.89;8.16;8.36;8.57
75;5.98;7.1;7.71;8.06;8.36;8.67;9.19
90;6.05;7.31;7.91;8.12;8.34;8.65;9.39
110;6.12;7.4;8.02;8.47;8.82;9.09;9.58
120;5.97;7.25;7.92;8.38;8.9;9.42;10.06
135;5.4;6.67;7.58;8.07;8.5;9.02;10.25
150;4.57;5.72;6.77;7.57;8.03;8.43;9.39
