x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,start_times
560.6774193548388,502.99261549029706,462.21735395188995,438.80800000000005,397.0432413793103,364.1324561403506,361.8652505446623,348.2542443064182,339.94215686274504,283.90992063492087,230.3091439688712,NaN,184.76222222222114,179.66666666666674,171.35325,159.89696969696953,151.79920634920632,138.4366666666712,142.1998263888888,137.65056497175135,1982-01-01T00:00:00.0
570.692723004695,495.02083333333326,446.49530705282916,420.42218749999995,394.38517730496454,379.08922955974845,239.67345679012024,335.60224719101126,320.03598484848516,317.84944444444443,286.65851063829786,290.75050505050604,234.60019747235387,220.1619957537155,178.2940860215054,168.27938596491228,158.43149425287356,147.67380952380947,141.44753086419755,128.9659090909098,1982-01-01T12:00:00.0
588.342383933229,411.1976190476249,437.6428571428572,416.8149071358749,390.73748792270527,360.78815142576195,341.6576876876877,327.10747330960857,311.7842211460856,303.20688073394496,295.44056603773583,572.7333333333246,238.73845885634586,220.13654320987658,202.91861063464845,212.07479338842975,168.26521739130428,147.3942307692297,148.32490421455938,140.5589133089133,1982-01-02T00:00:00.0
643.5221818181819,482.2369114877568,486.7469357249627,406.3788145539907,395.1320859320859,362.7394570707071,342.0974178403756,317.20761225096635,304.6146322378716,291.97824858757065,282.2457777777778,276.1320788530466,270.2530000000002,272.4494837758112,225.36827217125386,211.2219047619048,192.61572769953057,150.16590909090922,119.2991477272729,179.04353741496604,1982-01-02T12:00:00.0
625.9538461538461,600.287962962963,511.7769060283686,475.42948717948724,398.23533278553816,360.24388185654016,332.93393939393945,315.28172458172463,270.3128787878791,278.4674463937622,268.31728888888887,263.033081232493,251.82424242424227,250.09257028112464,252.29992816091956,279.93901630988785,218.5298992673993,191.9264895330113,173.0789112903226,167.44430693069307,1982-01-03T00:00:00.0
567.9067395264112,587.2320675105483,575.3710280373831,529.0293333333334,468.3649621212122,444.5903969643899,346.6828431372548,281.84861111110786,299.20856962822944,274.64058721934373,264.0866279069767,246.62121212121218,245.16589310829818,237.45684991273995,233.8150883838384,231.24407158836686,230.41701149425293,223.8791666666668,228.77343096234307,374.4689922480633,1982-01-03T12:00:00.0
604.1554149085795,609.2841333333321,555.4091216216216,528.599999999983,553.0961947397873,459.9178800856532,402.5000000000015,411.3132575757577,451.3084027777789,310.9989898989899,264.62158119658096,253.4584142394822,227.50774647887326,226.6001550387597,220.2249999999999,215.0886597938144,211.6845430107527,208.11666666666667,207.91080246913586,207.4165254237288,1982-01-04T00:00:00.0
596.76162464986,569.4591880341876,538.0368270332189,528.1280701754388,517.7833333333328,514.073863636364,396.8289473684203,366.1218518518521,411.1339063992359,Inf,387.7488356620093,364.06777777777774,322.4365800865801,252.2833333333337,269.1570921985815,222.1380272108843,209.0415937803693,190.3254901960783,191.94049919484704,187.40183486238536,1982-01-04T12:00:00.0
581.1645833333332,539.3259689922481,520.2104651162791,508.16980392156853,500.81798941798957,499.78333333333376,492.8232399425288,451.1825203252033,438.87175480769235,427.60186028853457,415.4543314500942,1160.1666666627893,378.62707355242566,365.4126712328767,344.671629213483,347.2458333333332,335.0114375987362,307.127802690583,290.3090828924161,283.3553606237817,1982-01-05T00:00:00.0
569.3242944317316,516.7991841491842,499.7199453551912,488.20820379965465,481.7291005291005,480.4016666666667,487.6566666666673,479.40357142857056,440.27431506849314,424.1716768916157,406.13469696969696,389.7655604719764,378.30226990049755,366.41106965174123,358.43437500000005,349.44117647058795,340.4062629399586,335.94021615472127,333.76702044025154,305.92644049542264,1982-01-05T12:00:00.0
556.6043600562588,502.2977611940299,500.13541666666885,468.56217391304347,461.54333333333346,458.55392156862746,456.42750809061494,449.868085106383,427.2453744493392,410.31543756145527,394.50644122383255,392.29871794871735,378.7139534883721,369.60660225442837,351.67108585858585,344.338418079096,333.52111111111185,323.6657142857143,318.7683127572017,307.7241379310347,1982-01-06T00:00:00.0
537.8215686274509,7.178571428608348,466.24219409282694,446.6956790123455,440.67580645161297,438.1453703703705,435.29627192982446,436.6083333333322,414.628735632184,395.5211009174312,380.5326131687243,355.6026666666648,360.1313616759088,352.93333333333334,339.3069248826291,332.4770085470086,324.433064516129,310.2568965517241,298.5659624413148,278.3979166666676,1982-01-06T12:00:00.0
519.96992481203,485.21520114942524,445.48515981735164,429.5277777777778,420.5996666666666,408.59861111110865,412.9555555555555,409.94245810055867,400.29797979797996,379.2629824561404,364.49315843621395,335.92807971014514,328.51280193236755,333.82400000000007,327.0935400516796,318.2716216216216,309.5102441613588,305.4333333333335,297.29720616570336,291.3514184397162,1982-01-07T00:00:00.0
507.5150966183576,460.8228070175452,431.7264492753623,410.11692913385826,400.1022388059702,396.52111111111117,392.8077777777778,389.7404761904762,384.09703703703696,374.0620462046205,344.53178871090773,331.69969696969696,324.5882751937985,308.0056603773583,307.89573170731694,307.6574712643677,295.51785714285717,286.55868421052634,279.5805555555555,274.34853107344634,1982-01-07T12:00:00.0
486.56065621370504,469.13012820512824,430.43284313725485,399.09818181818173,380.4888888888889,375.86661184210527,372.2959935897436,368.86527777777775,366.2685897435898,362.80362318840577,335.3571808510639,318.2927536231884,301.6111257695691,296.10986486486485,290.6030232558139,284.27911646586347,280.13621794871796,266.7989619377163,263.215503875969,256.0798798798799,1982-01-08T00:00:00.0
472.6126315789474,447.7600732600732,438.3234703196346,409.89049930651873,375.2770911360799,361.12666666666615,353.0070175438597,325.874999999979,346.81121794871797,342.99797979797984,333.4501253132831,303.8407608695652,291.5975220638154,278.6030666666666,267.5495535714286,265.55833333333334,266.4949874686716,252.31451612903223,229.31999999999903,240.22034313725487,1982-01-08T12:00:00.0
457.599031007752,233.61458333332416,419.7545601291364,412.884766214178,356.3667728237794,342.56628787878805,NaN,329.8635294117647,326.88349358974364,NaN,320.3174999999999,312.2521354166666,274.31715686274504,272.00278940027897,260.265350877193,245.7,239.11739130434782,229.4268115942033,228.45125786163524,222.82807351077315,1982-01-09T00:00:00.0
42.712222222221754,430.545386904762,397.7972055888223,392.6877049180328,351.5900000000004,337.77674418604647,318.53333333333336,309.7670542635659,305.0759803921569,302.65987654320986,298.9339449541284,300.18333333333544,310.3403703703704,266.48248663101606,242.6653594771242,241.94714285714286,233.26672149122803,220.58372093023252,219.66133671742807,212.2865189289012,1982-01-09T12:00:00.0
