start_time,0.85,0.8833333333333333,0.9166666666666666,0.9500000000000001,0.9833333333333333,1.0166666666666666,1.05,1.0833333333333333,1.1166666666666667,1.15
1982-01-25T12:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-26T00:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-26T12:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-27T00:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-27T12:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-28T00:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-28T12:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-29T00:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-29T12:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
1982-01-30T00:00:00.0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
